Overall rank,Country or region,Score,Outcome
2,Denmark,7.6,1
4,Iceland,7.494,1
5,Netherlands,7.488,1
7,Sweden,7.343,1
8,New Zealand,7.307,1
11,Australia,7.228,1
12,Costa Rica,7.167,1
15,United Kingdom,7.054,1
16,Ireland,7.021,1
17,Germany,6.985,1
20,Czech Republic,6.852,1
21,United Arab Emirates,6.825,1
24,France,6.592,1
25,Taiwan,6.446,1
27,Guatemala,6.436,1
30,Spain,6.354,1
33,Uruguay,6.293,1
34,Singapore,6.262,1
35,El Salvador,6.253,1
37,Bahrain,6.199,1
38,Slovakia,6.198,1
39,Trinidad & Tobago,6.192,1
42,Lithuania,6.149,1
46,Kosovo,6.1,1
48,Romania,6.07,1
51,Kuwait,6.021,1
52,Thailand,6.008,1
53,Latvia,5.94,1
54,South Korea,5.895,1
57,Mauritius,5.888,1
59,Honduras,5.86,1
60,Kazakhstan,5.809,1
63,Paraguay,5.743,1
66,Portugal,5.693,1
69,Philippines,5.631,1
71,Moldova,5.529,1
72,Libya,5.525,1
74,Tajikistan,5.467,1
75,Croatia,5.432,1
78,Bosnia and Herzegovina,5.386,0
80,Malaysia,5.339,0
83,Mongolia,5.285,0
85,Nigeria,5.265,0
86,Kyrgyzstan,5.261,0
88,Algeria,5.211,0
89,Morocco,5.208,0
91,Lebanon,5.197,0
92,Indonesia,5.192,0
94,Vietnam,5.175,0
95,Bhutan,5.082,0
96,Cameroon,5.044,0
97,Bulgaria,5.011,0
99,Ivory Coast,4.944,0
100,Nepal,4.913,0
103,Congo (Brazzaville),4.812,0
106,South Africa,4.722,0
109,Cambodia,4.7,0
114,Niger,4.628,0
115,Burkina Faso,4.587,0
118,Guinea,4.534,0
119,Georgia,4.519,0
120,Gambia,4.516,0
122,Mauritania,4.49,0
123,Mozambique,4.466,0
125,Bangladesh,4.456,0
127,Congo (Kinshasa),4.418,0
129,Sierra Leone,4.374,0
130,Sri Lanka,4.366,0
131,Myanmar,4.36,0
132,Chad,4.35,0
135,Swaziland,4.212,0
138,Zambia,4.107,0
139,Togo,4.085,0
143,Madagascar,3.933,0
144,Lesotho,3.802,0
145,Burundi,3.775,0
146,Zimbabwe,3.663,0
147,Haiti,3.597,0
148,Botswana,3.488,0
150,Malawi,3.41,0
153,Tanzania,3.231,0
155,Central African Republic,3.083,0