,Unnamed: 0,pedmort_2016,pedmort_53mean,pedmort_3mean,Code,sanit_2015,sanit_21mean,sanit_3mean,maln_12mean,maln_3mean,maln_2016,ped_labor2018,ped_labor_14mean,ped_labor_3mean,nat_dis2017,nat_dis_23mean,nat_dis_3mean,homoc_2017,homoc_3mean,homoc_23mean_x,Overall rank,Country or region,Score,Outcome,Unnamed: 24
0,0,6.79,20.64166667,7.316666667000001,AFG,31.9,24.26666667,31.13333333,32.11538462,27.46666667,30.3,,,,0.068638743,0.22038866199999999,0.116639824,10.67307599,12.02989835,13.54551222,154.0,Afghanistan,3.2030000000000003,0.0,
1,1,8.11,19.50205882,8.903333332999999,AGO,51.6,33.35454545,50.26666667,52.43076923,27.53333333,23.9,,,,0.0059867340000000005,0.010492686000000001,0.033983131,3.1548608469999997,3.316997575,4.819876085,,,,,
2,2,0.88,3.666388889,0.94,ALB,93.2,84.00909091,92.66666667,8.761538462,5.566666667000001,5.5,,,,0.004623365,0.007723148000000001,0.004757824,2.488883494,2.50594952,5.820425711,107.0,Albania,4.718999999999999,0.0,
3,3,0.33,0.612758621,0.35,AND,100.0,100.0,100.0,,,,,,,0.0,0.0,0.0,0.7023201109999999,0.7153721009999999,0.949330387,,,,,
4,4,0.91,5.030555556,0.8733333329999999,ARE,97.6,97.43636364,97.5,4.346153846,3.833333333,2.5,,,,0.0,0.0,0.0,1.201010852,1.21370072,1.252038172,21.0,United Arab Emirates,6.825,1.0,
5,5,1.04,3.361333333,1.143333333,ARG,96.4,91.47727273,95.8,4.315384615,3.5,3.8,,,,0.00030136,0.005617387,0.002868905,6.175149041,6.342786615,5.880806089,47.0,Argentina,6.086,1.0,
6,6,1.26,4.465526316,1.4,ARM,89.5,89.435,89.5,10.79230769,4.4,4.3,,,,0.0,0.002240959,0.0,3.691190976,3.739062587,4.703890764,116.0,Armenia,4.559,0.0,
7,7,0.74,1.8041379309999999,0.8,ATG,,84.59090909,,,,,,,,0.17763742,0.055683055999999995,0.0,5.343733299,5.353495071,4.975528413999999,,,,,
8,8,0.35,1.239444444,0.38333333299999994,AUS,100.0,100.0,100.0,2.5,2.5,2.5,67.8471,69.779416,66.9814,0.007034475,0.006973841999999999,0.003953456,1.3674117590000001,1.36632573,1.67719955,11.0,Australia,7.228,1.0,
9,9,0.36,1.574814815,0.37,AUT,100.0,100.0,100.0,2.5,2.5,2.5,56.6519,59.063012,56.9935,0.0,0.015212898999999998,0.013703146000000001,0.781109554,0.821320444,1.0353593220000001,10.0,Austria,7.246,1.0,
10,10,2.3,7.55625,2.646666667,AZE,89.3,70.56111111,86.3,7.730769231,2.5,2.5,,,,0.0,0.00451153,0.0,3.6582288139999997,3.692061405,6.9180576579999995,90.0,Azerbaijan,5.207999999999999,0.0,
11,11,6.12,18.331,6.726666667000001,BDI,48.0,44.43636364,47.76666667,,,,,,,0.00735205,0.002945272,0.06670595,0.571539636,0.588518708,1.015587086,,,,,
12,12,0.38,1.391296296,0.4,BEL,99.5,99.5,99.5,2.5,2.5,2.5,29.625999999999998,33.572359999999996,28.8472,0.0,0.001632481,0.000617709,1.3392598070000001,1.395402125,1.944448119,18.0,Belgium,6.922999999999999,1.0,
13,13,9.83,19.758703699999998,10.36333333,BEN,19.7,12.23181818,19.0,15.17692308,9.9,10.4,,,,0.0,0.006753751,0.0,4.992135978,5.2120030680000005,5.585928517,102.0,Benin,4.883,0.0,
14,14,8.12,22.65962963,8.85,BFA,19.7,12.19090909,19.0,23.63076923,20.43333333,21.3,,,,0.001098282,0.003124649,0.004221188,10.28283988,10.38633362,10.81699033,115.0,Burkina Faso,4.587,0.0,
15,15,3.24,15.40537037,3.643333333,BGD,60.6,45.84545455,58.66666667,17.33846154,16.36666667,15.2,,,,0.018405907,0.529686813,0.015913423,1.5691046780000002,1.619639094,2.289407558,125.0,Bangladesh,4.456,0.0,
16,16,0.75,2.191372549,0.833333333,BGR,86.0,85.65909091,86.0,5.715384615,3.833333333,3.0,,,,0.0,0.0026581609999999996,0.0027757159999999997,2.526974231,2.48101248,3.992941332,97.0,Bulgaria,5.011,0.0,
17,17,0.73,4.551111111,0.76,BHR,99.2,99.12727273,99.2,,,,,,,0.0,0.0,0.0,1.426544899,1.484841773,1.815308254,37.0,Bahrain,6.199,1.0,
18,18,0.72,2.252826087,0.806666667,BHS,92.0,89.45555556,92.0,,,,,,,0.0,0.056450292,0.450762156,28.62287183,29.94561622,21.9075716,,,,,
19,19,0.57,1.349,0.6033333329999999,BIH,94.8,94.89444444,94.8,3.284615385,2.5,2.5,,,,0.0,0.0017278170000000002,0.025906841,2.435472575,2.4322172490000002,3.561843642,78.0,Bosnia and Herzegovina,5.386,0.0,
20,20,0.37,1.300588235,0.41,BLR,94.3,94.8,94.36666667,2.7769230769999997,2.5,2.5,,,,0.0,0.0012300619999999999,0.000785695,6.8299206120000004,7.044985142000001,11.56867098,81.0,Belarus,5.3229999999999995,0.0,
21,21,1.42,4.778297872,1.563333333,BLZ,90.5,82.95,90.43333333,5.246153846,6.6333333329999995,6.5,,,,0.0,0.204807696,0.0,26.83939928,26.68303371,19.23371725,,,,,
22,22,3.49,14.76148148,3.753333333,BOL,50.3,38.11818182,49.3,28.93076923,20.3,19.8,,,,0.0,0.058894695999999996,0.090600292,5.93121778,6.130053307000001,8.013152796,61.0,Bolivia,5.779,1.0,
23,23,1.48,7.986851852000001,1.6066666669999998,BRA,82.8,74.46818182,82.13333333,5.238461538,2.5,2.5,,,,0.001037699,0.025935111,0.0073439180000000005,30.13288927,30.506693699999996,30.20205375,32.0,Brazil,6.3,1.0,
24,24,1.24,3.001666667,1.31,BRB,96.2,87.09090909,95.53333333,5.507692307999999,4.066666667,3.7,,,,0.0,0.003535072,0.0,10.87042377,10.94541644,10.95066427,,,,,
25,25,1.05,1.2509375,1.05,BRN,,,,2.769230769,2.666666667,2.6,,,,0.0,0.0,0.056668708,1.4784282309999999,1.455314871,1.4648111169999998,145.0,Burundi,3.775,0.0,
26,26,3.08,13.47511111,3.34,BTN,50.4,32.22727273,49.73333333,,,,,,,0.0,0.262541791,0.0,1.006742785,1.052045918,1.531556041,95.0,Bhutan,5.082,0.0,
27,27,3.76,8.566666667,4.07,BWA,63.4,51.53636364,63.0,31.56153846,25.73333333,28.5,,,,0.0,0.010110238,0.0,7.976065042,8.272175227,6.782292833,148.0,Botswana,3.488,0.0,
28,28,12.15,19.21944444,13.0,CAF,21.8,17.45909091,21.6,37.78461538,54.13333333,61.8,,,,0.0,0.001473701,0.000517211,7.696473114,19.35571692,8.14844262,155.0,Central African Republic,3.083,0.0,
29,29,0.51,1.312037037,0.53,CAN,99.8,99.8,99.8,2.5,2.5,2.5,63.3388,65.070924,63.95973333,0.001432289,0.006498611,0.0,1.5129035780000002,1.597860406,1.646554935,9.0,Canada,7.278,1.0,
30,30,0.42,1.116851852,0.433333333,CHE,99.9,99.9,99.9,2.5,2.5,2.5,67.9902,68.31296400000001,68.1808,0.0,0.019862203999999998,0.016716182,0.613309314,0.646488217,1.136185983,6.0,Switzerland,7.48,1.0,
31,31,0.74,4.33537037,0.79,CHL,99.1,91.81363636,98.93333333,4.092307691999999,3.5333333330000003,3.3,33.6614,38.566792,34.9705,0.024979444,0.044623972000000005,0.07480316,4.45998689,4.554743623999999,5.220193627,26.0,Chile,6.444,1.0,
32,32,0.93,5.206888889,1.08,CHN,76.5,59.59090909,74.23333333,14.0,9.2,8.7,,,,0.00550254,0.06467401099999999,0.010361383,1.0290816520000001,1.073420209,2.356098378,93.0,China,5.191,0.0,
33,33,8.88,17.96425926,9.48,CIV,22.5,17.88636364,21.96666667,21.07692308,21.26666667,20.7,,,,0.008127745,0.0016191060000000001,0.014140237,9.478731356,9.972835521,11.03728003,99.0,Ivory Coast,4.944,0.0,
34,34,8.4,17.1437037,9.023333333,CMR,45.8,42.35454545,45.4,18.83846154,6.8,7.3,,,,0.0015739329999999998,0.0032084059999999996,0.000672254,2.6222264980000003,2.7324539660000005,3.54484401,96.0,Cameroon,5.044,0.0,
35,35,9.11,18.142,9.766666667,COD,28.7,22.86818182,27.93333333,,,,,,,0.08269375799999999,0.0033934559999999996,0.01257341,3.045074247,3.2181139310000004,4.4498189539999995,127.0,Congo (Kinshasa),4.418,0.0,
36,36,4.75,11.17314815,5.133333333,COG,15.0,13.32,14.76666667,38.52307692,38.2,37.5,,,,0.0,0.0030872340000000003,0.0,5.150170884,5.867388067,6.562936081,103.0,Congo (Brazzaville),4.812,0.0,
37,37,1.47,5.582222222,1.57,COL,81.1,74.70454545,80.63333333,9.792307692,7.966666667,6.5,,,,0.149722106,0.10182496099999999,0.049176740999999996,29.74597995,29.13659776,64.10727632,43.0,Colombia,6.125,1.0,
38,38,6.9,13.48840909,7.3266666670000005,COM,35.8,25.56363636,35.0,,,,,,,0.0,0.006633767,0.0,7.621539277999999,7.685173294,8.088754642,142.0,Comoros,3.9730000000000003,0.0,
39,39,1.74,6.996,1.973333333,CPV,72.2,47.455,70.06666667,15.45384615,13.33333333,12.3,,,,0.0,0.00458106,0.102355142,12.77735582,13.14703408,12.42237802,,,,,
40,40,0.9,2.9232653060000002,0.936666667,CRI,94.5,91.48181818,94.43333333,5.338461538,5.266666667,4.4,45.2209,50.199464,43.3813,0.080723789,0.084233114,0.014815413999999999,10.40366806,10.30377466,7.105393491,12.0,Costa Rica,7.167000000000001,1.0,
41,41,0.54,1.9747058819999999,0.56,CUB,93.2,86.91363636,93.0,2.615384615,2.5,2.5,,,,0.009875459,0.008702003,0.0010079919999999999,6.054337727999999,6.048341839,6.323345483,,,,,
42,42,0.27,0.936857143,0.29,CYP,100.0,100.0,100.0,4.646153846,4.466666667,4.6,,,,0.0,0.003243749,0.0,1.612950273,1.635085128,2.156269106,49.0,Cyprus,6.046,1.0,
43,43,0.33,0.82969697,0.313333333,CZE,99.1,99.1,99.1,2.5,2.5,2.5,30.4064,39.62393478,32.0363,0.0,0.0030791779999999997,0.0,1.143285391,1.178172635,1.9557889,20.0,Czech Republic,6.852,1.0,
44,44,0.37,1.117391304,0.386666667,DEU,99.2,99.2,99.2,2.5,2.5,2.5,50.2756,52.089412,49.30086667,0.0,0.001158918,0.000869321,0.8022208059999999,0.7882270720000001,1.1158647590000002,,,,,
45,45,6.17,11.41973684,6.573333333,DJI,47.4,58.44090909,47.33333333,31.47692308,19.26666667,19.7,,,,0.0,0.16852085100000003,0.0,7.695642036000001,7.918445735,8.316953335,,,,,
46,46,3.4,3.674259259,3.1,DMA,,81.1,,5.161538462,5.833333333,5.2,,,,0.0,0.085317928,0.291687176,11.70465874,11.71580771,8.469115531,,,,,
47,47,0.43,1.0655555559999998,0.423333333,DNK,99.6,99.6,99.6,2.5,2.5,2.5,63.1839,69.5291,63.83783333,0.0,0.0009483439999999999,0.0,0.8077110759999999,0.776730455,1.357600745,2.0,Denmark,7.6,1.0,
48,48,2.99,7.773888889,3.156666667,DOM,84.0,77.74545455,83.26666667,22.19230769,11.9,10.4,,,,0.0,0.110379231,0.009021413,22.45808761,22.89291517,15.40049324,77.0,Dominican Republic,5.425,1.0,
49,49,2.4,11.6362963,2.49,DZA,87.6,83.65454545,87.2,8.123076923,4.633333333,4.7,,,,0.0,0.118403198,0.0036704890000000003,1.084100523,1.161439366,1.637976281,,,,,
50,50,1.45,7.7831481479999995,1.513333333,ECU,84.7,69.9,83.76666667,15.12307692,8.133333333,7.8,,,,0.0,0.089508509,0.286585054,13.87848698,13.75955331,18.80431206,50.0,Ecuador,6.028,1.0,
51,51,2.21,13.54777778,2.376666667,EGY,94.7,84.81363636,94.7,4.930769231,4.466666667,4.8,,,,0.0,0.014993603999999999,0.004928419,0.667825054,0.694132229,0.582423179,137.0,Egypt,4.166,0.0,
52,52,4.31,12.74575,4.606666667,ERI,15.7,11.69090909,15.43333333,,,,,,,0.0,0.000296725,0.0,11.32349416,11.72263847,12.35668274,,,,,
53,53,0.31,1.48962963,0.32,ESP,99.9,99.9,99.9,2.5,2.5,2.5,32.9834,43.215740000000004,33.69776667,0.0,0.003838049,0.001131285,0.714581908,0.744099101,1.057665301,30.0,Spain,6.354,1.0,
54,54,0.27,1.3082352940000002,0.31,EST,97.2,97.0,97.2,3.946153846,2.9,2.8,47.3257,41.988459999999996,43.703,0.0,0.001220643,0.0,4.503307505,4.575063033,13.229554,55.0,Estonia,5.893,1.0,
55,55,5.85,18.42604167,6.43,ETH,28.0,10.33181818,25.53333333,39.26153846,24.8,21.4,,,,0.021430207000000003,0.010219997,0.007850225,6.777949955,7.21007464,11.24644679,134.0,Ethiopia,4.2860000000000005,0.0,
56,56,0.23,0.957777778,0.24,FIN,97.6,97.40454545,97.6,2.5,2.5,2.5,53.0849,53.970572,52.5445,0.0,0.00133957,0.000644931,1.581319771,1.5824776440000001,2.7358923710000003,1.0,Finland,7.769,1.0,
57,57,2.53,3.9590740739999997,2.463333333,FJI,91.1,74.89090909,91.1,4.461538462,4.4,4.4,,,,0.0,0.08124063599999999,0.212877476,3.994803998,4.0926994180000005,4.051191612,,,,,
58,58,0.42,1.158888889,0.41666666700000005,FRA,98.7,98.7,98.7,2.5,2.5,2.5,37.6801,37.407579999999996,36.96466667,0.000172732,0.0076251769999999995,0.00250696,0.8294085790000001,0.8630180120000001,1.293318444,24.0,France,6.5920000000000005,1.0,
59,59,3.22,5.14030303,3.42,FSM,57.1,35.31818182,57.03333333,,,,,,,0.0,0.27165578,0.22829809899999998,5.622228884,5.634072241,5.778588394,,,,,
60,60,4.83,8.758333333,5.24,GAB,41.9,39.41666667,41.6,10.86923077,8.966666667,9.4,,,,0.0,0.00033761800000000003,0.0,4.757253287,4.9586426480000005,5.584905013999999,104.0,Gabon,4.7989999999999995,0.0,
61,61,0.43,1.286296296,0.446666667,GBR,99.2,99.2,99.2,2.5,2.5,2.5,57.092,62.714504000000005,58.11456667,0.0,0.002817497,0.00096228,0.533067857,0.527330922,0.8096838690000001,15.0,United Kingdom,7.053999999999999,1.0,
62,62,1.08,4.100769231,1.21,GEO,86.3,94.59545455,87.5,8.776923077000001,7.5,7.4,,,,0.0,0.025309972000000003,0.008062276,3.837343165,3.681417036,4.339146372,119.0,Georgia,4.519,0.0,
63,63,4.93,14.28222222,5.483333332999999,GHA,14.9,10.47272727,14.63333333,8.907692308,6.333333333,6.1,,,,0.00943912,0.00918995,0.005767596,2.9872775239999996,3.1023237710000005,3.9437596530000003,98.0,Ghana,4.996,0.0,
64,64,8.57,22.53541667,9.176666667000001,GIN,20.1,13.20454545,19.43333333,20.91538462,17.43333333,19.7,,,,0.0,0.000806353,0.004719912,6.321096963,6.538992834,6.544016952000001,118.0,Guinea,4.534,0.0,
65,65,6.36,20.14962963,6.796666667,GMB,58.9,59.595,58.76666667,12.39230769,9.8,9.6,,,,0.0,0.026941367,0.0,1.241879902,1.270478115,1.3491121730000002,120.0,Gambia,4.516,0.0,
66,66,8.42,17.65241379,9.086666667000001,GNB,20.8,14.3,20.46666667,23.76153846,25.2,26.0,,,,0.0,0.001238648,0.0,8.143195316,8.423408757,9.362749578999999,,,,,
67,67,8.96,15.685,9.603333333,GNQ,74.5,78.85,74.63333333,,,,,,,0.0,0.0,0.0,3.345031536,3.275595615,4.8995733360000004,,,,,
68,68,0.53,1.791851852,0.47666666700000004,GRC,99.0,95.68181818,99.0,2.5,2.5,2.5,23.2708,34.611364,25.22173333,0.019967976000000002,0.008167986,0.005267811,1.2511524840000001,1.281327886,1.254057912,82.0,Greece,5.287000000000001,0.0,
69,69,1.67,1.844333333,1.6266666669999998,GRD,98.0,98.0,98.0,,,,,,,0.0,0.116759258,0.0,5.294013467,5.1931020210000005,4.4068401680000004,,,,,
70,70,2.76,10.68944444,2.96,GTM,63.9,54.85454545,63.4,16.42307692,16.4,15.8,,,,0.021363061000000003,0.068532161,0.012210195,36.59360462,34.33558651,36.86535931,27.0,Guatemala,6.436,1.0,
71,71,3.13,6.100740741,3.33,GUY,83.7,79.46363636,83.6,9.661538462000001,8.2,7.5,,,,0.0,0.026120371,0.0,17.07405747,17.82144456,15.62750139,,,,,
72,72,1.82,8.676851852,1.96,HND,82.6,63.81818182,81.3,16.60769231,15.5,15.3,,,,0.029411215,1.455593889,0.0036847720000000002,43.73212615,80.56630863,52.56482944,59.0,Honduras,5.86,1.0,
73,73,0.46,1.09030303,0.48,HRV,97.0,97.24545455,97.1,4.030769231,2.5,2.5,,,,0.0,0.000808845,0.001917822,1.116576346,1.16910276,2.545186773,75.0,Croatia,5.432,1.0,
74,74,7.17,16.91888889,7.496666667,HTI,27.6,21.66363636,27.06666667,54.03076923,48.63333333,45.8,,,,0.035114968999999996,3.133013235,0.23049244,18.52015384,18.96214069,20.73640363,147.0,Haiti,3.597,0.0,
75,75,0.45,2.310185185,0.51,HUN,98.0,98.0,98.0,2.5,2.5,2.5,32.2632,31.85004348,31.9154,0.0,0.00322452,0.0,1.628133258,1.72648449,2.8656042,62.0,Hungary,5.757999999999999,1.0,
76,76,2.54,10.52314815,2.726666667,IDN,60.8,47.09545455,59.7,16.03846154,7.266666667000001,7.7,,,,0.0063959590000000005,0.47706455700000006,0.010153032,0.978833715,1.007191701,1.485526265,92.0,Indonesia,5.192,0.0,
77,77,3.94,14.42888889,4.413333333,IND,39.6,26.20909091,38.5,19.50769231,16.0,14.8,,,,0.01997276,0.050168145,0.009630737,3.031355894,3.078896305,4.004943496,140.0,India,4.015,0.0,
78,78,0.35,1.390185185,0.37,IRL,90.5,89.52727273,90.4,2.5,2.5,2.5,46.7205,51.064668,48.19036667,0.0,0.0020429520000000002,0.002257835,0.677645217,0.723936802,0.975770274,16.0,Ireland,7.021,1.0,
79,79,1.49,6.873953488,1.6033333330000001,IRN,90.0,79.5,89.8,5.869230769,5.233333333,4.9,,,,0.222346498,0.976837712,0.007500537,2.332909504,2.5031915369999997,2.568578634,117.0,Iran,4.548,0.0,
80,80,3.04,7.638518519,3.226666667,IRQ,85.6,76.57142857,85.33333333,27.90769231,27.63333333,27.7,,,,0.006579255,0.002030869,0.013518563999999999,5.665949618,6.276697661,7.575482204,126.0,Iraq,4.437,0.0,
81,81,0.21,0.92537037,0.226666667,ISL,98.8,98.8,98.8,2.5,2.5,2.5,80.3022,72.3069375,81.82396667,0.04538042,0.092346775,0.0,0.728002412,0.724233882,0.9412685559999999,4.0,Iceland,7.494,1.0,
82,82,0.36,1.13775,0.38333333299999994,ISR,100.0,100.0,100.0,2.5,2.5,2.5,47.07,55.442719999999994,48.57833333,0.0,0.00422855,0.0,2.088023894,2.143726035,2.605408384,13.0,Israel,7.138999999999999,1.0,
83,83,0.34,1.7414814809999999,0.35,ITA,99.5,99.5,99.5,2.5,2.5,2.5,26.0756,35.317347999999996,26.32353333,0.006754090999999999,0.008159363000000001,0.019730011000000002,0.7741462159999999,0.818580654,1.4571337619999998,36.0,Italy,6.223,1.0,
84,84,1.52,3.866666667,1.62,JAM,81.8,80.73636364,81.76666667,7.692307692000001,9.2,8.9,,,,0.0,0.018748693,0.0,31.92988178,34.62450676,21.08311279,56.0,Jamaica,5.89,1.0,
85,85,1.7,5.6327777779999995,1.813333333,JOR,98.6,97.88636364,98.6,8.4,11.86666667,13.5,,,,0.0,0.006524398000000001,0.0,2.605812428,2.662347507,3.4828886310000002,101.0,Jordan,4.906000000000001,0.0,
86,86,0.26,1.103518519,0.283333333,JPN,100.0,100.0,100.0,2.5,2.5,2.5,47.6,45.4184,44.13333333,0.0037182129999999997,0.096828044,0.009519993000000001,0.555812985,0.5606594739999999,0.792782421,58.0,Japan,5.886,1.0,
87,87,1.0,5.162790698,1.203333333,KAZ,97.5,96.83636364,97.5,4.630769231,2.5,2.5,,,,0.0,0.004686555,0.003264892,8.508572523,8.418831756,16.08016522,60.0,Kazakhstan,5.809,1.0,
88,88,4.56,11.46259259,4.876666667,KEN,30.1,27.00454545,29.86666667,27.56153846,21.36666667,24.2,,,,0.009001676,0.016285628,0.016141196,9.047429438,9.450224541,9.90126341,121.0,Kenya,4.5089999999999995,0.0,
89,89,2.0,6.277435897,2.23,KGZ,93.3,91.89545455,93.1,10.84615385,6.666666667,6.5,,,,0.070803452,0.05493962,0.024607197,4.21075077,4.5664169480000005,9.082823949,86.0,Kyrgyzstan,5.261,0.0,
90,90,2.92,11.92589744,3.206666667,KHM,42.4,17.48636364,39.0,21.0,18.76666667,18.5,,,,0.0,0.064142532,0.01531663,2.3823511,2.4601336259999997,3.047079688,109.0,Cambodia,4.7,0.0,
91,91,5.46,10.34176471,5.776666667000001,KIR,39.7,33.90909091,39.7,4.223076923,3.233333333,3.1,,,,0.0,0.0,0.0,1.731486461,1.783119575,2.01882494,,,,,
92,92,1.37,3.4988636360000003,1.3866666669999999,KNA,,87.3,,,,,,,,,,,,,,,St. Kitts and Nevis,,,
93,93,0.33,3.3531481480000003,0.35,KOR,100.0,100.0,100.0,2.5,2.5,2.5,27.3276,32.080192,28.17836667,0.0,0.039418247000000003,0.006463074,1.342270135,1.39776877,2.1239959980000003,54.0,South Korea,5.895,1.0,
94,94,0.81,3.97537037,0.8766666670000001,KWT,100.0,100.0,100.0,2.5,2.5,2.5,,,,0.0,0.0019426139999999998,0.0,0.9036145109999999,0.8846695459999999,1.86947347,51.0,Kuwait,6.021,1.0,
95,95,6.34,13.48305556,6.786666667,LAO,70.9,37.13333333,67.56666667,27.02307692,17.2,16.6,,,,0.0,0.016994815,0.0036569529999999997,3.220732499,3.3928101219999998,5.6480639020000005,105.0,Laos,4.796,0.0,
96,96,0.78,3.937592593,0.84,LBN,80.7,81.96428571,80.7,3.784615385,10.23333333,10.9,,,,0.0,0.0,0.005279215,4.468474968,5.842581857000001,6.880522914,91.0,Lebanon,5.197,0.0,
97,97,7.47,22.71555556,8.016666667,LBR,16.9,13.93888889,16.36666667,38.48461538,38.0,38.8,,,,0.0,0.0015604770000000002,0.0,2.0860801280000003,2.15386622,8.503576672000001,141.0,Liberia,3.975,0.0,
98,98,1.24,7.962962963,1.33,LBY,96.6,96.51818182,96.6,,,,,,,0.0,0.0022805620000000003,0.0,2.383870344,8.376532595,2.311589574,72.0,Libya,5.525,1.0,
99,99,1.66,2.802272727,1.73,LCA,90.5,83.45,90.0,,,,,,,0.0,0.047982178,0.0,18.60793112,18.65649257,15.274965,,,,,
